"","subject","Participant_num","Group_L","version","Day","exp_part","phase","Session","block","trials_count","n_trial_session","n_trial_block","set_num","session_type","seq_type","seq_num","stim","stim_size","background","pos_1","pos_2","pos_2_cons","pos_2_inc","RT_fp","RT_1","x_1","y_1","ObjClicked_1","accuracy","ObjClicked_RSI_1","rt_RSI_1","RT_2","x_2","y_2","ObjClicked_2","ObjClicked_RSI_2","rt_RSI_2","aborted","RSI","ITI_corr","ITI_inc","ITI_ab","tar_tmax","timer","timer_rel","timer_end","timer_rel_end","n_times","rt_RSI","laptop","Group","Mouse","DataSave","stim.1","stim.size","psychopyVersion","expName","date","time","frameRate","X","hour","Trials_count","Time","trial_n","trial_number","traj","loc","p1x","p1y","p2x","p2y","p4x","p4y","p5x","p5y"
"21","alex",1,"B","v2","2022-12-13","",NA,1,2,21,25,6,5,"srt","gram",3,"cricket",4.675,"black","loc_4","loc_2","","",0.299327200002153,0.658663900001557,-6.752578125,-2.57013020833333,"target",NA,"loc_5",0.717277000003378,0.575649999998859,0.111744791666667,4.166484375,"target","loc_5",0.585591600000043,"correct",1,3,3,0.1,10,"08:39:54.587356","0:02:33.502964","08:39:57.938236","0:02:36.853844",1,0.585591600000043,"lab","B","inv","yes","cricket",6,"v2022.2.4","Leipzig_Exp1","12-13","08-34",59.9153994569705,NA,8,NA,NA,NA,NA,"alex_13-12_21DLC_resnet50_AlexFeb24shuffle1_810000.h5","alex_13-12_21DLC_resnet50_LocOct12shuffle1_500000.h5",955.347290039063,159.871795654297,1063.04284667969,157.96134185791,948.728088378906,312.752197265625,1053.54290771484,335.892379760742
"22","alex",1,"B","v2","2022-12-13","",NA,1,2,22,19,7,5,"srt","gram",2,"cricket",4.675,"black","loc_3","loc_6","","",1.47695390000445,0.712406399994507,7.00799479166667,3.48005208333333,"target",NA,"",0,1.59374150000076,7.10377604166667,-3.400234375,"target","",0,"correct",1,3,3,0.1,10,"08:40:02.529886","0:02:41.445494","08:40:06.947261","0:02:45.862869",1,NA,"lab","B","inv","yes","cricket",6,"v2022.2.4","Leipzig_Exp1","12-13","08-34",59.9153994569705,NA,8,NA,NA,NA,NA,"alex_13-12_22DLC_resnet50_AlexFeb24shuffle1_810000.h5","alex_13-12_22DLC_resnet50_LocOct12shuffle1_500000.h5",955.347290039063,159.871795654297,1063.04284667969,157.96134185791,948.728088378906,312.752197265625,1053.54290771484,335.892379760742
"23","alex",1,"B","v2","2022-12-13","",NA,1,2,23,23,8,5,"srt","gram",1,"cricket",4.675,"black","loc_1","loc_5","","",0.0452337000024272,0.695831799996085,-5.81072916666667,4.23033854166667,"target",NA,"loc_5",0.908342800001265,0.495766700005333,0.782213541666667,-4.03877604166667,"target","loc_5",0.679813700000523,"correct",1,3,3,0.1,10,"08:40:10.113918","0:02:49.029526","08:40:13.416697","0:02:52.332305",1,0.679813700000523,"lab","B","inv","yes","cricket",6,"v2022.2.4","Leipzig_Exp1","12-13","08-34",59.9153994569705,NA,8,NA,NA,NA,NA,"alex_13-12_23DLC_resnet50_AlexFeb24shuffle1_810000.h5","alex_13-12_23DLC_resnet50_LocOct12shuffle1_500000.h5",955.347290039063,159.871795654297,1063.04284667969,157.96134185791,948.728088378906,312.752197265625,1053.54290771484,335.892379760742
"24","alex",1,"B","v2","2022-12-13","",NA,1,2,24,16,9,5,"srt","gram",3,"cricket",4.675,"black","loc_4","loc_2","","",0.249018800001068,0.773324900001171,-8.02966145833333,-2.01140625,"target",NA,"loc_5",0.243547799997032,0.551323499996215,0.622578125,3.448125,"target","loc_2",0.606930099995225,"correct",1,3,3,0.1,10,"08:40:16.784165","0:02:55.699773","08:40:20.225740","0:02:59.141348",1,0.606930099995225,"lab","B","inv","yes","cricket",6,"v2022.2.4","Leipzig_Exp1","12-13","08-34",59.9153994569705,NA,8,NA,NA,NA,NA,"alex_13-12_24DLC_resnet50_AlexFeb24shuffle1_810000.h5","alex_13-12_24DLC_resnet50_LocOct12shuffle1_500000.h5",955.347290039063,159.871795654297,1063.04284667969,157.96134185791,948.728088378906,312.752197265625,1053.54290771484,335.892379760742
"25","alex",1,"B","v2","2022-12-13","",NA,1,2,25,28,10,5,"srt","gram",3,"cricket",4.675,"black","loc_4","loc_2","","",0.199398900003871,1.24372600000061,-5.76283854166667,-2.74572916666667,"target",NA,"loc_5",0.321601499999815,0.572846899995056,0.143671875,3.496015625,"target","",0,"correct",1,3,3,0.1,10,"08:40:23.548422","0:03:02.464030","08:40:27.474209","0:03:06.389817",1,0.321601499999815,"lab","B","inv","yes","cricket",6,"v2022.2.4","Leipzig_Exp1","12-13","08-34",59.9153994569705,NA,8,NA,NA,NA,NA,"alex_13-12_25DLC_resnet50_AlexFeb24shuffle1_810000.h5","alex_13-12_25DLC_resnet50_LocOct12shuffle1_500000.h5",955.347290039063,159.871795654297,1063.04284667969,157.96134185791,948.728088378906,312.752197265625,1053.54290771484,335.892379760742
"26","alex",1,"B","v2","2022-12-13","",NA,1,2,26,17,11,5,"srt","gram",1,"cricket",4.675,"black","loc_1","loc_5","","",0.64801240000088,0.641516700001375,-6.67276041666667,3.46408854166667,"target",NA,"loc_5",0.639801499994064,0.664707199997792,-0.111744791666667,-2.8734375,"target","",0,"correct",1,3,3,0.1,10,"08:40:31.248299","0:03:10.163907","08:40:34.665571","0:03:13.581179",1,0.639801499994064,"lab","B","inv","yes","cricket",6,"v2022.2.4","Leipzig_Exp1","12-13","08-34",59.9153994569705,NA,8,NA,NA,NA,NA,"alex_13-12_26DLC_resnet50_AlexFeb24shuffle1_810000.h5","alex_13-12_26DLC_resnet50_LocOct12shuffle1_500000.h5",955.347290039063,159.871795654297,1063.04284667969,157.96134185791,948.728088378906,312.752197265625,1053.54290771484,335.892379760742
"27","alex",1,"B","v2","2022-12-13","",NA,1,2,27,27,12,5,"srt","gram",1,"cricket",4.675,"black","loc_1","loc_5","","",3.00000101560727e-06,0.919580800000404,-6.40138020833333,4.262265625,"target",NA,"loc_5",0.665233899999293,0.519909400005417,0.654505208333333,-4.15052083333333,"target","loc_5",0.644708100000571,"correct",1,3,3,0.1,10,"08:40:37.785021","0:03:16.700629","08:40:41.340941","0:03:20.256549",1,0.644708100000571,"lab","B","inv","yes","cricket",6,"v2022.2.4","Leipzig_Exp1","12-13","08-34",59.9153994569705,NA,8,NA,NA,NA,NA,"alex_13-12_27DLC_resnet50_AlexFeb24shuffle1_810000.h5","alex_13-12_27DLC_resnet50_LocOct12shuffle1_500000.h5",955.347290039063,159.871795654297,1063.04284667969,157.96134185791,948.728088378906,312.752197265625,1053.54290771484,335.892379760742
"28","alex",1,"B","v2","2022-12-13","",NA,1,2,28,26,13,5,"srt","gram",1,"cricket",4.675,"black","loc_1","loc_5","","",0.0598460999972303,0.906686100002844,-6.35348958333333,4.48575520833333,"target",NA,"loc_5",0.317401200001768,0.471119599998929,0.622578125,-3.81528645833333,"target","loc_5",0.715017700000317,"correct",1,3,3,0.1,10,"08:40:44.525237","0:03:23.440845","08:40:48.014164","0:03:26.929772",1,0.715017700000317,"lab","B","inv","yes","cricket",6,"v2022.2.4","Leipzig_Exp1","12-13","08-34",59.9153994569705,NA,8,NA,NA,NA,NA,"alex_13-12_28DLC_resnet50_AlexFeb24shuffle1_810000.h5","alex_13-12_28DLC_resnet50_LocOct12shuffle1_500000.h5",955.347290039063,159.871795654297,1063.04284667969,157.96134185791,948.728088378906,312.752197265625,1053.54290771484,335.892379760742
"29","alex",1,"B","v2","2022-12-13","",NA,1,2,29,29,14,5,"srt","gram",2,"cricket",4.675,"black","loc_3","loc_6","","",0.0037755000012111,0.673355600003561,7.59864583333333,3.62372395833333,"target",NA,"loc_5",0.718765799996618,2.57215209999413,7.07184895833333,-3.17674479166667,"target","",0,"correct",1,3,3,0.1,10,"08:40:51.134298","0:03:30.049906","08:40:56.498388","0:03:35.413996",1,0.718765799996618,"lab","B","inv","yes","cricket",6,"v2022.2.4","Leipzig_Exp1","12-13","08-34",59.9153994569705,NA,8,NA,NA,NA,NA,"alex_13-12_29DLC_resnet50_AlexFeb24shuffle1_810000.h5","alex_13-12_29DLC_resnet50_LocOct12shuffle1_500000.h5",955.347290039063,159.871795654297,1063.04284667969,157.96134185791,948.728088378906,312.752197265625,1053.54290771484,335.892379760742
"30","alex",1,"B","v2","2022-12-13","",NA,1,2,30,21,15,5,"srt","gram",3,"cricket",4.675,"black","loc_4","loc_2","","",0.73953249999613,0.672903799997584,-5.37971354166667,-4.77309895833333,"target",NA,"loc_5",0.959301299997605,0.569545300000755,1.35690104166667,2.79361979166667,"target","loc_6",0.779708000001847,"correct",1,3,3,0.1,10,"08:41:00.357833","0:03:39.273441","08:41:03.717383","0:03:42.632991",1,0.779708000001847,"lab","B","inv","yes","cricket",6,"v2022.2.4","Leipzig_Exp1","12-13","08-34",59.9153994569705,NA,8,NA,NA,NA,NA,"alex_13-12_30DLC_resnet50_AlexFeb24shuffle1_810000.h5","alex_13-12_30DLC_resnet50_LocOct12shuffle1_500000.h5",955.347290039063,159.871795654297,1063.04284667969,157.96134185791,948.728088378906,312.752197265625,1053.54290771484,335.892379760742
"31","alex",1,"B","v2","2022-12-13","",NA,1,3,31,41,1,5,"srt","gram",2,"cricket",4.675,"black","loc_3","loc_6","","",1.21136120000301,0.61253040000156,7.69442708333333,4.15052083333333,"target",NA,"loc_2",0.590777900004468,1.8903943999976,8.189296875,-2.37856770833333,"target","",0,"correct",1,3,3,0.1,10,"08:41:08.059703","0:03:46.975311","08:41:12.676729","0:03:51.592337",1,0.590777900004468,"lab","B","inv","yes","cricket",6,"v2022.2.4","Leipzig_Exp1","12-13","08-34",59.9153994569705,NA,8,NA,NA,NA,NA,"alex_13-12_31DLC_resnet50_AlexFeb24shuffle1_810000.h5","alex_13-12_31DLC_resnet50_LocOct12shuffle1_500000.h5",955.347290039063,159.871795654297,1063.04284667969,157.96134185791,948.728088378906,312.752197265625,1053.54290771484,335.892379760742
